,Handset Type,Average TCP Retransmission (Bytes)
0,A-Link Telecom I. Cubot A5,10784786.467576498
1,A-Link Telecom I. Cubot Note Plus,308106.5
2,A-Link Telecom I. Cubot Note S,20705865.5
3,A-Link Telecom I. Cubot Nova,68585.0
4,A-Link Telecom I. Cubot Power,4020.5
5,A-Link Telecom I. Cubot R9,15499.5
6,A-Link Telecom I. Cubot X18 Plus,862952.4162027666
7,Acer Liquid M220,10784786.467576498
8,Acer Liquid Z220,87193.5
9,Acer Liquid Z530,449065.33240553306
10,Acer Liquid Z630,349778.5
11,Acer Liquid Zest 4G,5571.0
12,Acer Liquid Zest Plus,5438205.983788249
13,Acer M310,6549364.747027005
14,Acer V370 Acer V370 Liquid E2 Duo,4259.0
15,Acer Zx Z130,4443.0
16,Adar Stanley Mobile S231,43177.5
17,Alif Communicati. Pulian Cm84,10784786.467576498
18,Apple iPad (A1823),2758223.609857236
19,Apple iPad (A1954),2823583.5111071183
20,Apple iPad 2 (A1396),5857490.733788249
21,Apple iPad 3 (A1430),100593.0
22,Apple iPad 4 (A1460),6678635.0709425695
23,Apple iPad Air (A1475),6802077.457888465
24,Apple iPad Air 2 (A1567),4755875.330307374
25,Apple iPad Mini (A1455),4981449.987030599
26,Apple iPad Mini (A1490),1629467.5
27,Apple iPad Mini (A1600),10784786.467576498
28,Apple iPad Mini 4 (A1550),5077701.520271152
29,Apple iPad Pro (A1652),7306875.867118587
30,Apple iPad Pro 10.5 (A1709),3818100.4330953937
31,Apple iPad Pro 12.9 (A1671),217322.91620276653
32,Apple iPad Pro 9.7 (A1674),7554767.873397207
33,Apple iPhone 3Gs (A1303),3887103.488573632
34,Apple iPhone 4 (A1332),4843639.816006594
35,Apple iPhone 4S (A1387),5150871.802517698
36,Apple iPhone 4S (A1431),10784786.467576498
37,Apple iPhone 5 (A1428) A1428S,4447417.759615079
38,Apple iPhone 5 (A1429),4845837.059911933
39,Apple iPhone 5C (A1456),7539253.812918536
40,Apple iPhone 5C (A1507),5940086.545081393
41,Apple iPhone 5C (A1529),6950991.337432617
42,Apple iPhone 5C (A1532),6165859.449601036
43,Apple iPhone 5S (A1453),4610545.554000286
44,Apple iPhone 5S (A1457),5177976.361839208
45,Apple iPhone 5S (A1528),10784786.467576498
46,Apple iPhone 5S (A1530),7378506.717007853
47,Apple iPhone 5S (A1533),6111525.95291504
48,Apple iPhone 6 (A1549),8588716.457521362
49,Apple iPhone 6 (A1586),8436081.174648304
50,Apple iPhone 6 Plus (A1522),7641775.420828559
51,Apple iPhone 6 Plus (A1524),8413287.930893008
52,Apple iPhone 6S (A1633),8951971.651486933
53,Apple iPhone 6S (A1688),9050384.646859428
54,Apple iPhone 6S (A1700),8447920.406605395
55,Apple iPhone 6S Plus (A1634),8857777.64564776
56,Apple iPhone 6S Plus (A1687),9264305.070269164
57,Apple iPhone 6S Plus (A1699),9259328.257922713
58,Apple iPhone 7 (A1660),9292328.70891532
59,Apple iPhone 7 (A1778),8357387.574428004
60,Apple iPhone 7 (A1779),8323075.666524564
61,Apple iPhone 7 (A1780),10784786.467576498
62,Apple iPhone 7 Plus (A1661),8940181.780695086
63,Apple iPhone 7 Plus (A1784),8248393.03951834
64,Apple iPhone 7 Plus (A1785),10022397.85087011
65,Apple iPhone 8 (A1863),8913798.672068704
66,Apple iPhone 8 (A1905),8846722.170161916
67,Apple iPhone 8 (A1906),8869967.077709405
68,Apple iPhone 8 Plus (A1864),9950737.42698428
69,Apple iPhone 8 Plus (A1897),8988871.84390649
70,Apple iPhone 8 Plus (A1898),8994075.389647081
71,Apple iPhone 8 Plus (A1899),10784786.467576498
72,Apple iPhone Se (A1662),8991861.453214878
