,Handset Type,Average Throughput (kbps)
0,A-Link Telecom I. Cubot A5,11755.0
1,A-Link Telecom I. Cubot Note Plus,3349.5
2,A-Link Telecom I. Cubot Note S,4468.5
3,A-Link Telecom I. Cubot Nova,28108.5
4,A-Link Telecom I. Cubot Power,34734.0
5,A-Link Telecom I. Cubot R9,2019.5
6,A-Link Telecom I. Cubot X18 Plus,6279.5
7,Acer Liquid M220,17.0
8,Acer Liquid Z220,276.0
9,Acer Liquid Z530,167.0
10,Acer Liquid Z630,224.0
11,Acer Liquid Zest 4G,14544.5
12,Acer Liquid Zest Plus,549.25
13,Acer M310,249.7
14,Acer V370 Acer V370 Liquid E2 Duo,3625.0
15,Acer Zx Z130,274.5
16,Adar Stanley Mobile S231,249.0
17,Alif Communicati. Pulian Cm84,11.0
18,Apple iPad (A1823),7523.25
19,Apple iPad (A1954),14058.57936925926
20,Apple iPad 2 (A1396),1801.875
21,Apple iPad 3 (A1430),7542.25
22,Apple iPad 4 (A1460),12312.75
23,Apple iPad Air (A1475),4725.486111111111
24,Apple iPad Air 2 (A1567),7252.541666666667
25,Apple iPad Mini (A1455),490.5
26,Apple iPad Mini (A1490),22440.0
27,Apple iPad Mini (A1600),723.5
28,Apple iPad Mini 4 (A1550),2755.3738107777776
29,Apple iPad Pro (A1652),3372.5038272222223
30,Apple iPad Pro 10.5 (A1709),4548.710246944444
31,Apple iPad Pro 12.9 (A1671),22317.25
32,Apple iPad Pro 9.7 (A1674),3157.8854166666665
33,Apple iPhone 3Gs (A1303),309.9861111111111
34,Apple iPhone 4 (A1332),617.0833333333334
35,Apple iPhone 4S (A1387),848.4568376068377
36,Apple iPhone 4S (A1431),145.0
37,Apple iPhone 5 (A1428) A1428S,5265.527777777777
38,Apple iPhone 5 (A1429),2920.7954545454545
39,Apple iPhone 5C (A1456),2164.174604567901
40,Apple iPhone 5C (A1507),4009.9544270833335
41,Apple iPhone 5C (A1529),4233.253968253968
42,Apple iPhone 5C (A1532),3914.9298245614036
43,Apple iPhone 5S (A1453),4139.722857644445
44,Apple iPhone 5S (A1457),4805.527381422619
45,Apple iPhone 5S (A1528),252.5
46,Apple iPhone 5S (A1530),7797.788693611111
47,Apple iPhone 5S (A1533),3659.1586737380953
48,Apple iPhone 6 (A1549),3333.722603511521
49,Apple iPhone 6 (A1586),3146.685075735025
50,Apple iPhone 6 Plus (A1522),4036.898965792541
51,Apple iPhone 6 Plus (A1524),3241.214467491275
52,Apple iPhone 6S (A1633),3322.606960298942
53,Apple iPhone 6S (A1688),2834.1070534708206
54,Apple iPhone 6S (A1700),4132.323529411765
55,Apple iPhone 6S Plus (A1634),4080.9877925396827
56,Apple iPhone 6S Plus (A1687),2585.0160732453887
57,Apple iPhone 6S Plus (A1699),1171.857142857143
58,Apple iPhone 7 (A1660),3513.015066386105
59,Apple iPhone 7 (A1778),4188.750309622254
60,Apple iPhone 7 (A1779),3546.637584888889
61,Apple iPhone 7 (A1780),36.5
62,Apple iPhone 7 Plus (A1661),3264.7298071832356
63,Apple iPhone 7 Plus (A1784),4090.449470892019
64,Apple iPhone 7 Plus (A1785),1733.668832878788
65,Apple iPhone 8 (A1863),3454.1363207048985
66,Apple iPhone 8 (A1905),3460.7547670647286
67,Apple iPhone 8 (A1906),5070.688989270833
68,Apple iPhone 8 Plus (A1864),3225.225253947812
69,Apple iPhone 8 Plus (A1897),3830.611730685442
70,Apple iPhone 8 Plus (A1898),244.41666666666666
71,Apple iPhone 8 Plus (A1899),31.5
72,Apple iPhone Se (A1662),2460.8049263678163
73,Apple iPhone Se (A1723),2561.6231352995324
74,Apple iPhone X (A1865),3465.026972329235
75,Apple iPhone X (A1901),4168.849834385938
